event,t,participant,trial,session,block,reward,prob1,prob2,mag1,mag2,resp,wasRnf,resp_type,trial_ID
cue1_On,0.081722786781,01,0,1,1,juice,0.1,0.1,1,2,,,,83
cue1_Off,1.02376862321,01,0,1,1,juice,0.1,0.1,1,2,,,,83
cue2_On,2.52643128143,01,0,1,1,juice,0.1,0.1,1,2,,,,83
cue2_Off,3.51953828099,01,0,1,1,juice,0.1,0.1,1,2,,,,83
trial_On,5.58086211477,01,0,1,1,juice,0.1,0.1,1,2,,,,83
trial_Off,6.51219749652,01,0,1,1,juice,0.1,0.1,1,2,,,,83
chosen_On,6.53154487547,01,0,1,1,juice,0.1,0.1,1,2,right,0,button,83
chosen_Off,7.51653487291,01,0,1,1,juice,0.1,0.1,1,2,,,,83
feedback_On,9.18837837664,01,0,1,1,juice,0.1,0.1,1,2,,,,83
feedback_Off,10.1849462454,01,0,1,1,juice,0.1,0.1,1,2,,,,83
rnf_delivery_On,12.8510216338,01,0,1,1,juice,0.1,0.1,1,2,,,,83
rnf_delivery_Off,14.8548314637,01,0,1,1,juice,0.1,0.1,1,2,,,,83
cue1_On,16.7813635039,01,1,1,1,juice,0.1,0.5,1,1,,,,85
cue1_Off,17.7700724255,01,1,1,1,juice,0.1,0.5,1,1,,,,85
cue2_On,20.486117815,01,1,1,1,juice,0.1,0.5,1,1,,,,85
cue2_Off,21.4746085628,01,1,1,1,juice,0.1,0.5,1,1,,,,85
trial_On,22.5562732873,01,1,1,1,juice,0.1,0.5,1,1,,,,85
trial_Off,23.4312142718,01,1,1,1,juice,0.1,0.5,1,1,,,,85
chosen_On,23.4404942809,01,1,1,1,juice,0.1,0.5,1,1,right,0,button,85
chosen_Off,24.4285255149,01,1,1,1,juice,0.1,0.5,1,1,,,,85
feedback_On,26.7840842244,01,1,1,1,juice,0.1,0.5,1,1,,,,85
feedback_Off,27.7805016589,01,1,1,1,juice,0.1,0.5,1,1,,,,85
rnf_delivery_On,29.667663013,01,1,1,1,juice,0.1,0.5,1,1,,,,85
rnf_delivery_Off,31.6664466357,01,1,1,1,juice,0.1,0.5,1,1,,,,85
cue2_On,33.5968451019,01,2,1,1,juice,0.1,0.1,1,3,,,,84
cue2_Off,34.618433747,01,2,1,1,juice,0.1,0.1,1,3,,,,84
cue1_On,36.6683609345,01,2,1,1,juice,0.1,0.1,1,3,,,,84
cue1_Off,37.7250359664,01,2,1,1,juice,0.1,0.1,1,3,,,,84
trial_On,39.1691858307,01,2,1,1,juice,0.1,0.1,1,3,,,,84
trial_Off,40.5189374234,01,2,1,1,juice,0.1,0.1,1,3,,,,84
chosen_On,40.5290622693,01,2,1,1,juice,0.1,0.1,1,3,left,0,button,84
chosen_Off,41.5234363774,01,2,1,1,juice,0.1,0.1,1,3,,,,84
feedback_On,43.6772661773,01,2,1,1,juice,0.1,0.1,1,3,,,,84
feedback_Off,44.6754706424,01,2,1,1,juice,0.1,0.1,1,3,,,,84
rnf_delivery_On,45.7666235793,01,2,1,1,juice,0.1,0.1,1,3,,,,84
rnf_delivery_Off,47.7609284818,01,2,1,1,juice,0.1,0.1,1,3,,,,84
cue2_On,50.2262174477,01,3,1,1,juice,0.1,0.5,1,2,,,,86
cue2_Off,51.2243832046,01,3,1,1,juice,0.1,0.5,1,2,,,,86
cue1_On,52.9864321729,01,3,1,1,juice,0.1,0.5,1,2,,,,86
cue1_Off,54.0144390559,01,3,1,1,juice,0.1,0.5,1,2,,,,86
trial_On,55.9869295152,01,3,1,1,juice,0.1,0.5,1,2,,,,86
trial_Off,56.5832884181,01,3,1,1,juice,0.1,0.5,1,2,,,,86
chosen_On,56.5952648084,01,3,1,1,juice,0.1,0.5,1,2,right,1,button,86
chosen_Off,57.5846813285,01,3,1,1,juice,0.1,0.5,1,2,,,,86
feedback_On,59.6868719807,01,3,1,1,juice,0.1,0.5,1,2,,,,86
feedback_Off,60.6698975346,01,3,1,1,juice,0.1,0.5,1,2,,,,86
rnf_delivery_On,63.4723438371,01,3,1,1,juice,0.1,0.5,1,2,,,,86
rnf_delivery_Off,67.5310874144,01,3,1,1,juice,0.1,0.5,1,2,,,,86
